Shot Number,Beam,Tandem-X DEM,Elevation (m),Canopy Elevation (m),Canopy Height (rh100),RH 98,RH 25,Quality Flag,Degrade Flag,Sensitivity,geometry
9.82E+16,BEAM1000,70.56927,67.63771,82.09329,14.45,13.74,2.5,1,0,0.9526047,POINT (-83.99566812285188 10.443392751414132)
9.82E+16,BEAM1011,51.066162,55.59561,73.6452,18.04,17.22,6.29,1,0,0.9527155,POINT (-83.99536154459066 10.443808334247796)
9.82E+16,BEAM1011,51.066162,47.381653,57.866894,10.48,9.47,-0.71,1,0,0.9683412,POINT (-83.99530213779576 10.434330071229006)
9.82E+16,BEAM1011,59.85094,49.948544,75.11311,25.16,24.15,2.88,1,0,0.97148347,POINT (-83.9949943460964 10.434746079905606)
9.82E+16,BEAM1011,58.07069,52.98074,76.42274,23.44,22.16,2.88,1,0,0.9749763,POINT (-83.9946858539648 10.435162864513346)
9.82E+16,BEAM1011,77.188866,58.659664,93.335846,34.67,33.59,11.04,1,0,0.95609725,POINT (-83.99437997089501 10.43557688904165)
9.82E+16,BEAM1011,77.188866,52.264618,87.83953,35.57,34.22,11.9,1,0,0.973631,POINT (-83.99406956955296 10.43599581335107)
9.82E+16,BEAM1011,76.240135,67.13599,94.92187,27.78,26.81,10.67,1,0,0.96823025,POINT (-83.99376045357647 10.43641340737778)
9.82E+16,BEAM1011,76.240135,76.42103,91.13781,14.71,13.7,1.57,1,0,0.9751331,POINT (-83.99345240261542 10.436829911191998)
9.82E+16,BEAM1011,63.64178,63.097565,80.622894,17.52,16.58,-0.18,1,0,0.9621298,POINT (-83.99314728119477 10.437243326428549)
9.82E+16,BEAM1011,63.505173,65.563736,72.41659,6.85,6.06,-1.16,1,0,0.9568551,POINT (-83.9928401504073 10.437658961739793)
9.82E+16,BEAM1011,66.74684,66.618416,74.33256,7.71,7,-0.26,1,0,0.9613404,POINT (-83.992532581877 10.438075132484135)
9.82E+16,BEAM1011,66.71006,63.099277,74.03388,10.93,10.07,-0.22,1,0,0.95476675,POINT (-83.99222423286938 10.438492211143933)
9.82E+16,BEAM1011,62.848328,60.046036,66.449524,6.4,4.9,-0.93,1,0,0.97798496,POINT (-83.99191619984623 10.43890902214207)
9.82E+16,BEAM1011,73.11398,59.62888,88.08881,28.45,27.14,-0.89,1,0,0.9746651,POINT (-83.99160682010556 10.4393273483331)
9.82E+16,BEAM1011,62.23408,61.64902,88.34894,26.69,25.61,-0.11,1,0,0.9584608,POINT (-83.99129967199282 10.439743342068429)
9.82E+16,BEAM1011,62.23408,60.9247,66.31711,5.39,4.26,-0.78,1,0,0.9631702,POINT (-83.99099120796865 10.4401608090019)
9.82E+16,BEAM1011,57.227013,56.348774,63.27652,6.92,5.65,-1.68,1,0,0.97090733,POINT (-83.99068322631977 10.440577813090792)
9.82E+16,BEAM1011,63.041477,61.162292,69.28835,8.12,7.11,-0.63,1,0,0.96119595,POINT (-83.9903770656729 10.440992912150922)
,,,,,,,,,,,POINT (-83.99007012022399 10.441408900640111)
